CouponID,CouponCode,Description,DiscountValue,IssueDate
1,A5G7L9,10$ off on orders,10,01/07/2024
2,8KJ9M4,10$ off on orders,10,15/07/2024
3,X1Y4Z7,10$ off on orders,10,20/06/2024
4,7Z9P1T,10$ off on orders,10,01/08/2024
5,C3M8L6,10$ off on orders,10,25/06/2024
6,P9R7D3,10$ off on orders,10,18/07/2024
7,Q8N4B2,10$ off on orders,10,10/06/2024
8,5L2T9V,10$ off on orders,10,05/08/2024
9,H4J1M7,10$ off on orders,10,30/06/2024
10,9Q5R8L,10$ off on orders,10,20/07/2024
11,F1N3Z8,10$ off on orders,10,15/06/2024
12,V7Y9X3,10$ off on orders,10,25/07/2024
13,L3K6P9,10$ off on orders,10,05/06/2024
14,8J5M2H,10$ off on orders,10,10/07/2024
15,W9Q4Z2,10$ off on orders,10,15/08/2024
16,K1G7P3,10$ off on orders,10,18/06/2024
17,X2V9T4,10$ off on orders,10,22/07/2024
18,M3L8R6,10$ off on orders,10,01/06/2024
19,B7N2C4,10$ off on orders,10,03/08/2024
20,6J9H3Q,10$ off on orders,10,08/07/2024
